"PointID"	"x"	"y"	"Density"	"Momentum_x"	"Momentum_y"	"Energy"	"Pressure"	"Temperature"	"Mach"	"Pressure_Coefficient"
74	1.422899961470000e-01	-5.263443049277360e-02	1.029440184656260e+00	3.435256706288674e+02	-3.781184971385263e+01	2.567039999064177e+05	7.947682825459682e+04	2.689488893904754e+02	1.021149598362737e+00	-4.813051122934329e-01	
75	1.314399987460000e-01	-5.137133628795417e-02	1.039147459197884e+00	3.430703189245678e+02	-4.213984667411242e+01	2.588180920612608e+05	8.053280819991943e+04	2.699765284411205e+02	1.009824431964635e+00	-4.580423628018173e-01	
76	1.209499984980000e-01	-5.001187382363489e-02	1.049428386378289e+00	3.424664933779278e+02	-4.673071804703097e+01	2.610545237486591e+05	8.165378442096134e+04	2.710527736643680e+02	9.979194927567684e-01	-4.333477754361553e-01	
77	1.108499988910000e-01	-4.856066993422563e-02	1.060490273734396e+00	3.416806735218019e+02	-5.161003279708738e+01	2.634574201911785e+05	8.286333143272503e+04	2.721986990632984e+02	9.851910978713617e-01	-4.067020145411462e-01	
78	1.011300012470000e-01	-4.701715290498424e-02	1.072390788673594e+00	3.406348415200671e+02	-5.679516052699112e+01	2.660346727038412e+05	8.417239017734070e+04	2.734304832587271e+02	9.714444808288628e-01	-3.778640562250912e-01	
79	9.181000292300000e-02	-4.538527151431038e-02	1.085155109219991e+00	3.392788572344406e+02	-6.232380362179866e+01	2.687905574956798e+05	8.558490673699942e+04	2.747487387953512e+02	9.566536708369460e-01	-3.467469701235545e-01	
80	8.290000259900000e-02	-4.366791468532204e-02	1.098887348425017e+00	3.375852323449494e+02	-6.823548880476980e+01	2.717493158608048e+05	8.711063967409467e+04	2.761521156859958e+02	9.408112843308215e-01	-3.131357796232362e-01	
81	7.440000027400000e-02	-4.186607976498817e-02	1.113634774860266e+00	3.354601348746291e+02	-7.456383972939076e+01	2.749175645276658e+05	8.875840859630442e+04	2.776496103016938e+02	9.237881942137069e-01	-2.768361928486742e-01	
82	6.633000075800000e-02	-3.998513962421356e-02	1.129547083148409e+00	3.328203915900531e+02	-8.136130687601602e+01	2.783268290620660e+05	9.054557320760863e+04	2.792500305512865e+02	9.054491024621149e-01	-2.374657835552010e-01	
83	5.869000032500000e-02	-3.802635805630503e-02	1.146741508730882e+00	3.295370633995562e+02	-8.867057524461546e+01	2.819989254092055e+05	9.248860275183726e+04	2.809655226616349e+02	8.856093228951579e-01	-1.946617419231509e-01	
84	5.149000138000000e-02	-3.599337852580232e-02	1.165401619654847e+00	3.254475429593418e+02	-9.653712300930222e+01	2.859695730018197e+05	9.461172499875932e+04	2.828132084250184e+02	8.640102104930658e-01	-1.478903413970400e-01	
